,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,integrated_gradients_1,0.6519451867384151,0.4224607139372365,0.18570616665289452,0.26043059102869975,0.7374004892554469,0.2295783562504461
1,integrated_gradients_2,0.5283654099247043,0.4025667464879918,0.2794785677529267,0.31976970753958683,0.6601601273485098,0.26311966695751976
2,integrated_gradients_3,0.5669668346703751,0.403120986619853,0.2626514210746324,0.3171654048538139,0.6607138814083328,0.26852162944612495
3,integrated_gradients_4,0.5672981674767152,0.4068466574809811,0.2597487342054593,0.3140346482074651,0.6618376242172137,0.2737780405891696
4,integrated_gradients_5,0.5649809411221702,0.40239874987256513,0.2665860788455227,0.32172994759686385,0.6563851453956239,0.2747740035363453
5,mean,0.6409021139504841,0.41797836153468226,0.2035568236596399,0.2844012075198658,0.7073038526184028,0.2416212387114281
6,variance,0.6391829392531084,0.418075549868962,0.2039526508636571,0.2843095331780374,0.7083408466916224,0.24114570547693714
7,rbm,0.20422862827352703,0.2844419659229148,0.6406655838377221,0.4182869734762898,0.20422907371824534,0.2655930238638989
8,flipped_rbm,0.6414805994630922,0.4182829776737388,0.2034704996669986,0.2845456533563886,0.7076002632705056,0.24189164104664132
9,rbm_flip_detection,0.6414805994630922,0.4182829776737388,0.2034704996669986,0.2845456533563886,0.7076002632705056,0.24189164104664132
10,rbm_ideal,0.6451658817227433,0.41727080515066933,0.1997896527338554,0.28028246881552366,0.7132069720007207,0.23438744967672598
