,method,insert mean,insert std,delete mean,delete std
0,gradientshap,0.5244351515526793,0.3478167561477167,0.1899105777224413,0.25829469832618435
1,deeplift,0.5423151730328204,0.3487164921197479,0.1895263407856293,0.24855654187740447
2,lime,0.7039480185102235,0.2565231331413681,0.21761524967673618,0.22428364368374545
3,saliency,0.45818982952245507,0.3066430931501071,0.28891377162581483,0.25519699715793054
4,smoothgrad,0.5829851357760345,0.25206252361458903,0.32414011875779786,0.26239302344139864
5,integrated_gradients,0.5678352288837131,0.35444492313570414,0.1613211602180297,0.23896685309996715
6,guidedbackprop,0.487083849620211,0.3355739249058109,0.4430439311039156,0.3151988316784712
7,gray_image,0.46016979051574036,0.3130357354366376,0.4881229178644523,0.31731301538628004
8,mean,0.7215282414968585,0.2759218464864617,0.20405376933224081,0.250597623474363
9,variance,0.7213574830997226,0.27901446823664644,0.19850125693149884,0.24794401235975033
10,rbm,0.14669368065864086,0.20595163806435415,0.6856022287880911,0.3188540197077591
11,flipped_rbm,0.6863683579967221,0.31884394174525615,0.1459466210362817,0.20600772480420804
12,rbm_flip_detection,0.6863683579967221,0.31884394174525615,0.1459466210362817,0.20600772480420804
13,rbm_ideal,0.6869184005997331,0.31797142966887004,0.145395789263714,0.20591344222196958
